latitude,longitude,heading
0.091005,-0.059567,0.072598
0.151030,-0.080025,0.105192
0.205460,-0.087759,0.134933
0.254294,-0.082772,0.161824
0.297533,-0.065062,0.185862
0.335176,-0.034629,0.207049
0.367223,0.008526,0.225384
0.393674,0.064403,0.240867
0.414530,0.133002,0.253498
0.429789,0.214324,0.263278
0.439454,0.308369,0.270206
0.443522,0.415135,0.274282
0.441995,0.534624,0.275507
0.434872,0.666836,0.273880
0.422153,0.811770,0.269401
0.403838,0.969426,0.262070
0.379928,1.139805,0.251888
0.350422,1.322906,0.238854
0.315321,1.518729,0.222968
0.274623,1.727275,0.204230
0.228330,1.948543,0.182641
0.176441,2.182533,0.158200
0.118957,2.429246,0.130907
0.055877,2.688681,0.100763
-0.012799,2.960839,0.067767
-0.087071,3.245719,0.031919
-0.166938,3.543322,-0.006781
-0.252402,3.853646,-0.048332
-0.343460,4.176693,-0.092735
-0.440115,4.512463,-0.139990
-0.542365,4.860955,-0.190097
-0.650211,5.222169,-0.243055
-0.763653,5.596106,-0.298865
-0.882691,5.982765,-0.357527
-1.007324,6.382146,-0.419040
-1.137553,6.794250,-0.483405
-1.273377,7.219077,-0.550622
-1.414798,7.656625,-0.620691
-1.561814,8.095385,-0.691271
-1.714426,8.517031,-0.758637
-1.872633,8.921329,-0.822742
-2.036437,9.308279,-0.883585
-2.205836,9.677881,-0.941167
-2.380830,10.030135,-0.995487
-2.561421,10.365040,-1.046546
-2.747607,10.682597,-1.094342
-2.939389,10.982806,-1.138878
-3.136766,11.265667,-1.180152
-3.339740,11.531180,-1.218164
-3.548309,11.779345,-1.252915
-3.761702,12.010161,-1.284404
-3.975291,12.223629,-1.312631
-4.188304,12.419749,-1.337597
-4.400742,12.598521,-1.359302
-4.612604,12.759945,-1.377744
-4.823890,12.904020,-1.392926
-5.034600,13.030748,-1.404845
-5.244734,13.140127,-1.413504
-5.454293,13.232158,-1.418900
-5.663276,13.306840,-1.421035
-5.871683,13.364175,-1.419909
-6.079515,13.404161,-1.415520
-6.286770,13.426944,-1.407899
-6.493450,13.443786,-1.399224
-6.699555,13.461763,-1.390867
-6.905083,13.480875,-1.382828
-7.110036,13.501122,-1.375106
-7.314413,13.522504,-1.367702
-7.518214,13.545021,-1.360615
-7.721439,13.568673,-1.353846
-7.924089,13.593460,-1.347394
-8.126163,13.619382,-1.341260
-8.327661,13.646439,-1.335443
-8.528584,13.674631,-1.329943
-8.728930,13.703958,-1.324762
-8.928701,13.734420,-1.319897
-9.127896,13.766017,-1.315351
-9.326516,13.798749,-1.311121
-9.524559,13.832616,-1.307209
-9.722027,13.867618,-1.303615
